case number,Timestamp,Who was the member adjudicating the decision?,What was the location of the landlord tenant board?,Did the decision state the landlord was represented?,Did the decision state the landlord attended the hearing?,Did the decision state the tenant was represented?,Did the decision state the tenant attended the hearing?,Did the decision state the landlord was a not-for-profit landlord (e.g. Toronto Community Housing)?,Did the decision state the tenant was collecting a subsidy?,What was the outcome of the case?,"What was the length of the tenancy, or in other words, how long had the tenants lived at the residence in question? ",What was the monthly rent?,What was the amount of the rental deposit? ,"If any rent increases occurred, what was the rent after the increase(s)?",What was the total amount of arrears?,Over how many months did the arrears accumulate? ,"If the tenant made a payment on the arrears after the eviction notice was served and/or prior to the hearing, what was the amount of the payment? ","Did the decision mention a history of arrears by the tenant separate from the arrears in the current claim (more than one period of arrears, recurrently coming in and out of arrears, arrears with previous landlord, etc.)?","Did the member find the tenant had or seemed to have the ability to pay rent, but chose not do so?"
CEL-87788-19,11/18/2020 0:31:41,sonia anwar-ali,Toronto,1,0,0,0,0,0,Payment plan,88,1398.79,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,1,0
CEL-90549-19,11/18/2020 19:26:30,shelby whittick,Mississauga,1,1,0,1,0,0,No relief,6.306049004594181,2100.00,2100.00,0,10500.00,7,0,0,0
TEL-94478-18,12/24/2020 9:19:21,ruth carey,Toronto,1,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1476.53,0,974.59,3,1,0,0
TEL-94493-18,12/24/2020 6:13:17,ruth carey,Toronto,1,1,0,1,0,0,Postponement of eviction,74,1595.9445741324917,1089.32,0,1094.17,3,1,1,0
CEL-72994-18,11/19/2020 17:02:37,avril cardoso,Mississauga,1,0,1,0,0,0,No relief,23,1595.9445741324917,1365.9816966067863,0,5550.00,3,0,1,0
CEL-73021-18,11/19/2020 17:14:22,avril cardoso,Mississauga,1,0,0,0,0,0,No relief,45,1850.00,1850.00,0,27750.00,15,0,0,0
CEL-73052-18,11/19/2020 17:26:00,avril cardoso,Mississauga,1,0,0,1,0,0,No relief,3,1800.00,1800.00,0,3136.51,2,0,0,1
CEL-73107-18-RV,11/19/2020 18:31:42,karen wallace,Mississauga,1,1,0,1,0,1,Postponement of eviction,7,1500.00,1500.00,0,2500.00,3,0,0,0
CEL-73197-18,11/19/2020 18:43:01,tiisetso russell,Mississauga,0,1,0,1,0,0,No relief,3,1595.9445741324917,1000.00,0,3000.00,3,0,0,0
CEL-73575-18,11/19/2020 19:07:50,avril cardoso,Mississauga,1,1,0,0,0,0,No relief,14,1595.9445741324917,1650.00,0,6985.73,6,0,1,0
CEL-73640-18,11/19/2020 21:23:48,avril cardoso,Mississauga,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,6194.90,6,0,0,0
CEL-73767-18,11/30/2020 21:23:51,avril cardoso,Barrie,0,1,0,0,0,0,No relief,6.306049004594181,1080.00,0.00,0,1445.00,65,1,0,0
CEL-90549-19,11/21/2020 19:11:58,shelby whittick,Mississauga,1,1,0,1,0,1,No relief,6.306049004594181,2100.00,2100.00,0,10500.00,6,0,0,0
TNL-10004-18,11/21/2020 19:21:16,nancy morris,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,2123.54,0,8494.16,3,0,0,0
